address,amount
0x29c33ac6db1d16fdebe471c652585190905dfd04,263713.52139672958743
0xda1bcb25559206b7a38c02b211baed535ddf10a4,252827.03938145071242
0x2d2cadf39f7c1856fb15b8cb2d5a39808b2cbd89,233720.84240955496569
0x29ffebd73dd219b601ba99888bb5d16d58eef222,201277.39075399823183
0xdaa66340b34ce73f7f3b9ca844cb3659fc92434d,136958.17660055274966
0xd5f45430f18f31fcb4b5129b618e24a9bafac1e3,127431.94128526249401
0xe3f96cb5ae6353ed964f12c3841f50c8453df33b,118849.3894453143221
0xdde09e93ecf5f9bc71a2423f61133dbdb8a25113,114472.87934976414817
0x7d6d682795a5b704fc5ddacac91398c62b8b5416,98732.407684421245731
0xa218e658f1f863147caa781610170f6b5f48de21,87747.139363418004259
0xfbfca3eaaeb17c5640c34ef1e2b9bfabdb94dcfa,85153.0855651468829
0x2c3560a3829d1fc74013fda53294469814dde0dc,72498.833603505468473
0xdf316c1fa737f6aa655d73616999e46672f60dd6,71367.127857928891007
0x7dccc79361b0227a85c2ff788ca240d31f2a78d0,68750.234692578510373
0xc606aade250e4845e2634baf2c79d0ff3cc3025c,60145.02539412533307
0x964dadfc160aaa79f9d12c51758c5ef7df802869,57569.807694251731976
0x98dc27fa946f1e5911354bf866ee3302091d976e,53752.022785029669126
0x905169bc5bc5da0e3d6022e5b79c43bb82750d37,53628.875983534661042
0x58f1eb47c0885606e708564c52f4eeed54d24f02,53576.505293511954792
0x16b1dc26446a69d9307ae4ab2ee67c082165a4cd,49733.460744398016872
0x2f0c4fa1cdc9ac0cf1766d4306b58f6fe1248237,48944.636251212991169
0x98118cbf472c3ac76d08bc55d00e0fb389df2fa0,48090.592875385752388
0x8712db20ab0e011faf38c6ea5ee74a5b1c5a8375,46105.115595962734084
0xa2fb6967a323cef8b481e88b39539fbc22d61e09,46017.030835348235616
0x5f38c6bb41423831ed47e3ba7f9794a35ec2afb9,41298.469113577093464
0xb642b7b23c84ddc446dc364b1f714cee6bfd0908,40088.152759955384959
0xdd3b3a67c66a5276aacc499ec2abd5241721e008,39382.382132663456629
0x3e4fedca9cd0b1e3c9ec994fd9b12b61b582a193,39246.33151863361477
0x665eaba50ff0c80f318de79f5c2b7a9fce409dc1,38657.612292709370823
0x199554ccb0c7e11a8c5275a41f3e61a92c235846,38083.633676170710483
0x1a3e2847d38cb68bb407a7e6a73a918a58fdcf3a,37782.989166097106731
0xacec3af796fbd7ae18a297afefb6971c2e7d500e,37541.184385948758049
0x31385f1945fe502d2482b4c609144ab97eb642ea,36682.653629734027526
0xcb69c793478a7355178979ae0be453bf61c378ee,35637.93731955973528
0x2262d4288f35b75831f0b132a7b1fcf719430274,35461.710626246560317
0x971a6da29c0103d8ad1bc46b884b8abff9d66514,34147.205496834185232
0xd79a6cbf81d33809e0c6f9c83e910dd6791c76fa,33789.078636307318571
0x8eeda2a1adf00b23770c7abb38e8e1ead6d2d779,33313.309808140060983
0x1da6a4cf0a189fff6c3bfc383941a898baa2c503,33311.537288455204635
0x5b3cec6a5e219674d4485be572cd3faae338bfc6,32318.06948948215595
0xf8eac1cb7deaab2cfc7c7d085168582cdd6470d4,30401.569948984338809
0xae412a9b9ad78c93a0253c86e617bf193bbccacd,29772.014914031836987
0x83b01c3a08efd868f67b5ab2c6a62fc998b8a9b8,29453.651299193212371
0xaed98608ccdf79238aed02c21390caed483c87d1,29108.450492440805114
0x05cee3a59e550b7b79991d0eb17344b2f8b52160,28100.513801257382576
0x4c31a03f32d263bad138de520d3cc27af4dfa16d,27818.855668966949388
0xe0cdfbeaa6964cd87055832cb4ee928450189f31,27593.204761688354587
0x980f925d1644489305068fe95255b4bca3af6927,27564.278649727246926
0x70796e8deea0cb8a962917a22c3883f0f595664b,25954.561828541586997
0x13f750dd96148e98bd87d3c123d4a2a77102f8cb,25362.878866515971539
0x5ea71d048a4b2676f01b561e87d37d255a774add,24794.484715620665393
0x2c236be4a7b9420156df76eee07cd1ad35850038,24038.571228223118508
0xcdce6ad76143a42c14ebdac67c199af57cebc565,23313.977430435453469
0xfec089f37f45b3bddd66f4d9b00ea4848c810792,23302.598328780664603
0x270735e7afdc9ef0ee9f3186990fd118e253dcc1,22923.197320798580769
0x75647253d31de219f28a66aa3c1ed310649aa337,22756.629074758137283
0x8eb7725b864cd7ed93e99be62e5b155397c58188,22572.30047517608824
0x456fb001c4b6aa2d4c99c587fce826d9ae733529,22394.885380112753099
0x91942026918fd219c6b62f739c4dab80dd6673b6,22382.794958867015926
0x85e31389d4138ca9ba2cc95495c8a76268d58ef5,22267.892445342727143
0x19d8da2674e8a025154153297ea3ab918debf96d,21808.542151204633838
0x897fed9144674e36e49a73c5d4b714183ff5a70e,21641.804930840491196
0x326fb0eab3645763bc7cc027864ce89269838575,21373.089570797956104
0x6f4be11d63ba2fb47c21760259b7efbed881bca0,21321.061374640944841
0x1b17a2656e43c16398a4a407fc38691c61f2db79,21273.856257761203978
0xe38d3e2cbfbd70171a2d1fde8c90c8ea793855f4,20510.553113207922229
0xcf3b35077e9e8a64654b2c0b67cdef5ce2ae34f0,19912.565930305439924
0xa29a90406e64b043d64f9c4d4327d3846527d852,19782.928690340366909
0x3a77a32a7a47e72824aaff264742ce7ed0c821d0,19239.16736140681832
0x54b154d4fb3750c22b3c4062e9c588ad147e2ce4,18084.810743340022628
0x6c0d1ed9dbcf23ef4af36d1ea621aa643cc31dc8,17263.8580868672106
0xb31cf365b31b76d5f449ff79c6e2bb0ab06d968e,17162.294451412632863
0xd0c923aab713f60c6627d9b4091c8433c068906b,17091.119244712284783
0xb89c44aa626f5591b0150f20b0adb643291328da,17002.299972293226398
0xbfdfe0b764bff626ecb1f746242e0ef4f230f8e1,16875.538090992573874
0x138a15516d3e7e88ab20cd68305356c3c437d294,16413.024696103933575
0x380d89b06a1a596a2c4f788daaabc2dcc6493888,15933.434925032614658
