address,amount
0x5f77dbc7686327d3bf6ec1887e5a3ada0ae60841,400
0x2eb31ce9d261650c8f367cb076a314dae2713da6,200
0xd8ddbfd00b958e94a024fb8c116ae89c70c60257,200
0x270de0ae1bef06d1de5cdbdcf411357f5784ed2e,200
0xb26af90041b13a3b795c45dc2f2b7e6b6ac6b593,1377
0x952580d41f10db41d97fcd6b1984bc2538eefc2c,1852
0x662d5d79849113a5403af776210307a7c82a5267,361
0x0e467a0288a439ba2678eb7d3b0b64b01e2bbbfc,500
0x0de290f9717764641b9694c246338a477cff9543,4739
0x3ffc477e96c98a22218497667ebf776489caad89,1111
0xdbef8f238aba02763edfe12564a204363e836dd6,999
0x09765e9d82b019eb0bfe91cbe2e472aab9a142a8,200
0x1b9ad081e4a94fbb566486f3d86f97a1da1c94b0,200
0xaa0dd4544fb4ac8c706011bfa8f16638fb6409f3,200
0x4dd958ca0455bfb231770cd06898894b4c974671,1666
0x4c4ae926a706349fd16700b4f368a4a0cd4a67e4,1479
0xba2b9804fbffa8f1a8f7dc8dd600e21268bef09f,5034
0x6689b9d1642bb413c74c35eeba13165f755f26fe,200
0x0263d82a119a20f0a4992f11081b1b4746ca8c89,200
0xd404b645c7fef0bc3c8f4fff73fcc61bac5296cf,777
0xb59aa5bb9270d44be3fa9b6d67520a2d28cf80ab,2097
0x00063ddb30be7bc2292583d5f143e9d6e6228440,1600
0x7e07064e5a921a57eb29c22f179b20513e8a3485,270
0x34db35639eafe2712ae1f69dfa298b06a5c25053,1500
0x45db9d3457c2cb05c4bfc7334a33cee6e19d508f,3305
0xe3919f3f971c4589089daa930aafa81b8a27b406,10501
0x45698cdcc733cba4f8b1150c2f580587adf1df92,11618
0xebdb4f871fff3add1afee782077b9359a8ce8060,924
0x6f73ea756bd57d3adcafb73a4f5fcd750ec1c387,400
0x4a7b17fbec1ecc14a00b351f9fb40b0c957e776b,200
0x2632f1d2bc03f31d869b868b875a091f35247efb,1123
0x96ac4a8925288b224972a007ca91c99b46a02d1d,935
0x05ff7cc8b490b38898744037f951f3247673c2ed,500
0xa3eac0016f6581ac34768c0d4b99ddcd88071c3c,999
0x38488dca8dccfeebfd3cc298436134e3b3af6b8b,823
0x6e1b330095496e6cabc703853357ca03202e9758,2388
0x47bbf62c4326eff3353022e7dd1d9caa5bc97841,450
0x6e63a4caeccb4f341ee9c9175c9cc554bdb6d10b,1584
0x1d2757e7b628981ec185e31bf419c61294e0660a,1386
0x6432c098bfeda15dd4d0692c46bdb43091a95171,2722
0xaa451dcc2b100d9bc1d6bd0b482b0904f679a3cf,4111
0x3c9d92a145b17b7df69d22eff292499b2849ee83,200
0x607e6697233d045ee6a586b303630298dd80515d,2600
0xe7b7cbd142226994b2dcaa2c8f150fde1e954c42,3500
0x88cfa3fad96ead4f7a3f5d8409cd2cbf989e6f1f,2100
0xa88fe6fa01fcc112bb2164c6e37d63395b923e5f,13338
0xf56345338cb4cddaf915ebef3bfde63e70fe3053,1800
0x8df46d8bb10d79f89e00e0a6859327f7189c45de,3333
0x0cf30daf2fb962ed1d5d19c97f5f6651f3b691c1,200
0x79d31bfca5fda7a4f15b36763d2e44c99d811a6c,2300
0xfecbbfec931a06c0cf7b008cf3c013457f610a22,2400
0x83420c847d19423bc96a2df0f9813214a56c6000,200
0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,2220
0xbdddfb2ff21efcc00a2ca5a7d1fdc5798c98f07b,19841
0x021edd67d43b365a6401a5ee704aa6f264f3f4e4,240
0xda1bcb25559206b7a38c02b211baed535ddf10a4,3650
